Name,OK 43.32,,,,,,,,,
Material,STEEL,Process type,SMAW,,,,,,,
Elements,C,Mn,Si,,,,,,,
wt%,0.07,0.5,0.4,,,,,,,
Diameter [mm],Current [A],Voltage [V],kg weld metal/kg electrodes,Number of electrodes/kg weld metal, Fusion time per electrode at 90% I max [s], Deposition rate 90% I max [kg/h],,,,
2.0x300,50-60,23,0.54,167,36,0.6,,,,
2.5x350,50-110,25,0.54,88,46,0.9,,,,
3.2x350,80-150,26,0.57,51,57,1.3,,,,
3.2x450,80-140,26,0.54,40.5,74,1.3,,,,
4.0x350,120-210,25,0.52,35,63,1.6,,,,
4.0x450,120-210,27,0.54,27,76,1.9,,,,
5.0x450,170-290,26,0.56,17,87,2.5,,,,
6.0x450,230-370,30.6,0.52,12.4,105,2.8,,,,
,,,,,,,,,,
Name,OK 46.00,,,,,,,,,
Material,Unknown,Process type,Unknown,,,,,,,
Elements,C,Mn,Si,,,,,,,
wt%,0.08,0.42,0.3,,,,,,,
Diameter [mm],Current [A],Voltage [V],kg weld metal/kg electrodes,Number of electrodes/kg weld metal, Fusion time per electrode at 90% I max [s], Deposition rate 90% I max [kg/h],,,,
1.6x300,30-60,26,0.63,263,36,0.38,,,,
2.0x300,50-70,25,0.6,172,38,0.55,,,,
2.5x350,60-100,22,0.65,86,50,0.8,,,,
3.0x350,70-140,32,0.51,77,46,1,,,,
3.2x350,80-150,22,0.65,53,57,1.3,,,,
3.2x450,80-150,22,0.64,43,63,1.33,,,,
,,,,,,,,,,
Name,OK 46.00,,,,,,,,,
Material,Unknown,Process type,Unknown,,,,,,,
Diameter [mm],Current [A],Voltage [V],kg weld metal/kg electrodes,Number of electrodes/kg weld metal, Fusion time per electrode at 90% I max [s], Deposition rate 90% I max [kg/h],,,,
4.0x350,100-200,22,0.6,39,65,1.6,,,,
4.0x400,100-200,26,0.6,33,64,1.69,,,,
4.0x450,100-200,23,0.58,33,76,1.94,,,,
5.0x350,150-290,24,0.6,24,87,2.3,,,,
5.0x400,150-290,30,0.56,22,71,2.2,,,,
5.0x450,150-290,24,0.6,31,114,2.3,,,,
,,,,,,,,,,
Name,OK 46.16,,,,,,,,,
Material,STEEL,Process type,SMAW,,,,,,,
Elements,C,Mn,Si,,,,,,,
wt%,0.09,0.5,0.4,,,,,,,
Diameter [mm],Current [A],Voltage [V],kg weld metal/kg electrodes,Number of electrodes/kg weld metal, Fusion time per electrode at 90% I max [s], Deposition rate 90% I max [kg/h],,,,
2.0x300,50-70,24,0.57,167,40,0.54,,,,
2.5x350,60-100,25,0.6,86,49,0.9,,,,
3.2x350,80-150,23,0.58,52,59,1.3,,,,
4.0x350,100-200,24,0.59,34,65,1.8,,,,
,,,,,,,,,,
Name,OK 46.30,,,,,,,,,
Material,STEEL,Process type,SMAW,,,,,,,
Elements,C,Mn,Si,,,,,,,
wt%,0.07,0.48,0.31,,,,,,,
Diameter [mm],Current [A],Voltage [V],kg weld metal/kg electrodes,Number of electrodes/kg weld metal, Fusion time per electrode at 90% I max [s], Deposition rate 90% I max [kg/h],,,,
2.5x350,70-100,24,0.6,93,58,0.7,,,,
3.2x350,100-140,23,0.61,57,60,1.1,,,,
4.0x450,120-170,21,0.64,27,96,1.4,,,,
5.0x450,160-250,21,0.66,17,105,2,,,,
,,,,,,,,,,
